ID,Layer,Relay,HasSubMenu,CmdC,CmdE,CmdI,CmdV,ShortCut,CallTimes,BodyMap,Stage,AudC,AudE,AudI,AudV,Note1,Note2,Note3
序號,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,LANGUAGE1,zh,您好，很高興為您服務,,,,,,,,,NULL,NULL,,,,,
2,LANGUAGE2,en,Hello. It is pleasure to serve you.,,,,,,,,,NULL,NULL,,,,,
3,LANGUAGE3,ja,こんにちは。貴方に奉仕するのは私の栄光です。,,,,,,,,,NULL,NULL,,,,,
4,,不顯示,ACT,緊急,Emergency,keadaan darurat,Khẩn cấp,FALSE,0,FALSE,1,NULL,NULL,,,註,註2,註3
5,FEELING,不顯示,YES,情緒表達,emotion,Perasaan,Cảm xúc,FALSE,0,FALSE,1,NULL,NULL,,,,,
6,DAILY,首頁,YES,日常生活,daily life,kehidupan sehari-hari,Cuộc sống hằng ngày,FALSE,0,FALSE,1,NULL,NULL,,,,,
7,SPECIAL,首頁,YES,特別狀況,special situation,situasi khusus,Trường hợp đặc biệt,FALSE,0,FALSE,1,NULL,NULL,,,,,
8,BODYFEEL,首頁,YES,身體感覺,Body,kondisi badan,Cơ thể,FALSE,0,FALSE,1,NULL,NULL,,,,,
9,DIET,首頁,YES,飲食,diet,makanan & minuman,Chế độ ăn uống,FALSE,0,FALSE,1,NULL,NULL,,,,,
10,DRUG,首頁,YES,藥物,drug,obat,Thuốc,FALSE,0,FALSE,1,NULL,NULL,,,,,
11,HYG,首頁,YES,個人衛生,Personal hygiene,Kebersihan pribadi,Vệ sinh cá nhân,FALSE,0,FALSE,1,NULL,NULL,,,,,
12,POS,首頁,YES,調整姿勢,Adjust posture,penyesuaian postural,Điều chỉnh tư thế,FALSE,0,FALSE,1,NULL,NULL,,,,,
13,CHAT,首頁,YES,說話聊天,chat,obrolan,Trò chuyện,FALSE,0,FALSE,1,NULL,NULL,,,,,
14,OPINION,首頁,YES,表達意見,opinions,Mengekspresikan pendapat,Ý kiến. quan điểm,FALSE,0,FALSE,1,NULL,NULL,,,,,
15,ENTERT,首頁,YES,娛樂,entertainment,hiburan,Giải trí,FALSE,0,FALSE,1,NULL,NULL,,,,,
16,MOVE,首頁,YES,移動,move,geser/pindah,Di chuyển,FALSE,0,FALSE,1,NULL,NULL,,,,,
17,PRIVATE,首頁,YES,私人需求,personal needs,permintaan pribadi,Nhu cầu cá nhân,FALSE,0,FALSE,1,NULL,NULL,,,,,
18,FAVORITE,首頁,SETUP,我的最愛,favorite/shortcut,favorit saya,Yêu thích,TRUE,3,FALSE,1,NULL,SORT,,,依次數排序,依喜好排序,
19,SORT,首頁,SETUP,常用指令,frequent commands,perintah umum,Phím tắt,TRUE,4,FALSE,1,NULL,SORT,,,依次數排序,依喜好排序,
20,SETUP,首頁,YES,設定,settings,pengaturan,Cài đặt,TRUE,0,FALSE,1,NULL,NULL,,,,,
21,SETUP,設定,YES,磁吸效果,magnetic,magnet,Có tính từ. có sức quyến rũ (adj). chất có từ tính (N),FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
22,SETUP,設定,YES,音量調整,volume,pengaturan suara,Âm lượng,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
23,SETUP,設定,YES,背景顏色,Background Color,warna background,Màu nền,TRUE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
24,SETUP,設定,YES,移動速度,Move Speed,kecepatan gerakan,Tốc độ di chuyển,TRUE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
25,SETUP,設定,YES,人物選擇,select person,pemilihan karakter,Chọn lệnh,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,應可自行勾選指令，以製作捷徑,,
26,SETUP,設定,YES,讀秒速度,Countdown Speed,kecepatan membaca,Tốc độ đếm ngược,TRUE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
27,SETUP,設定,YES,字幕語言,language,subtitle,Ngôn ngữ phụ đề,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
28,SETUP,設定,YES,語音調整,sound,pengaturan suara,Âm thanh,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
29,SETUP,設定,YES,病程,disease progress,proses penyakit,Quá trình bệnh lý,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
30,SETUP,不顯示,YES,情境,situation,situasi,Tình trạng,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
31,SETUP,設定,SETUP,正常排序,Normal ICON,pengurutan normal,Biểu tượng thông thường,TRUE,1,FALSE,1,NULL,NULL,NULL,NULL,,,
32,,不顯示,YES,警告音開關,Warning Sound,suara peringatan,Âm thanh cảnh báo,TRUE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
33,,不顯示,SETUP,休眠模式,standby,modus tidur,Chế độ ngủ,TRUE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
34,,不顯示,SETUP,我的最愛,favorite/shortcut,favorit,Yêu thích,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,依次數排序,依喜好排序,
35,,不顯示,SETUP,常用指令,frequent commands,perintah umum,Phím tắt thường dùng,TRUE,0,FALSE,1,NULL,NULL,NULL,NULL,依次數排序,依喜好排序,
36,,指令排序,ACT,排序調整,adjust thearrangement,penyesuaian urutan,Điều chỉnh thứ tự,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
37,,不顯示,,居家1,home,rumah,Trong nhà,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
38,,不顯示,,外出1,go outside,pergi keluar,Ra ngoài,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
39,,不顯示,,就醫1,see a doctor,Periksa ke dokter,Đi khám bác sĩ,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
40,MAGNETICON,磁吸效果,SETUP,開,ON,,Mở,FALSE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
41,MAGNETICOFF,磁吸效果,SETUP,關,OFF,,Tắt,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
